"State","Housing Units","Burglaries","Population"
"Alabama",2339582,14408,5074296
"Alaska",329285,1973,733583
"Arizona",3186612,19941,7359197
"Arkansas",1395709,14204,3045637
"California",14627460,145141,39029342
"Colorado",2591780,23077,5839926
"Connecticut",1540363,4716,3626205
"Delaware",465787,2068,1018396
"District of Columbia",360890,1352,671803
"Florida",10257426,38594,22244823
"Georgia",4539156,23772,10912876
"Hawaii",568075,3745,1440196
"Idaho",796958,3075,1939033
"Illinois",5452765,26229,12582032
"Indiana",2977293,15449,6833037
"Iowa",1438565,6997,3200517
"Kansas",1292622,8029,2937150
"Kentucky",2023724,11044,4512310
"Louisiana",2113216,22850,4590241
"Maine",751782,1605,1385340
"Maryland",2559195,11728,6164660
"Massachusetts",3036334,9968,6981974
"Michigan",4611660,21503,10034113
"Minnesota",2547955,12244,5717184
"Mississippi",1342831,10296,2940057
"Missouri",2826508,18276,6177957
"Montana",529152,2249,1122867
"Nebraska",863913,3591,1967923
"Nevada",1328725,13859,3177772
"New Hampshire",648567,1025,1395231
"New Jersey",3785346,13708,9261699
"New Mexico",956778,12764,2113344
"New York",8586228,31976,19677151
"North Carolina",4892662,39668,10698973
"North Dakota",377771,2789,779261
"Ohio",5293356,30015,11756058
"Oklahoma",1776666,19401,4019800
"Oregon",1859387,15295,4240137
"Pennsylvania",5815392,19231,12972008
"Rhode Island",486029,1401,1093734
"South Carolina",2446724,18632,5282634
"South Dakota",408306,2393,909824
"Tennessee",3144618,22499,7051339
"Texas",12136678,100402,30029572
"Utah",1228746,6818,3380800
"Vermont",339034,984,647064
"Virginia",3685322,10818,8683619
"Washington",3314390,43837,7785786
"West Virginia",861633,3377,1775156
"Wisconsin",2770583,9059,5892539
"Wyoming",277116,1218,581381
